epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,1929.16,0.62048,0.06138,0.06647,0.38983,0.89475,1,0.96971,0.9934,0.87803,1,0.96971,0.99417,0.99049,0.62183,0.0496,0.02637,0.37932,0.85522,0.0017525,0.0017525,0.0017525
102,1948.27,0.5908,0.05085,0.05602,0.37934,0.8775,0.99718,0.97826,0.99417,0.87898,0.99718,0.97826,0.99457,0.99453,0.59069,0.03852,0.00296,0.37602,0.84545,0.00175003,0.00175003,0.00175003
103,1967.19,0.5849,0.05877,0.06229,0.37628,0.87708,0.99931,1,0.995,0.8762,0.99931,1,0.995,0.995,0.62202,0.02173,0.00988,0.35482,0.85192,0.00174755,0.00174755,0.00174755
104,1986.16,0.58321,0.04887,0.06432,0.3745,0.88212,0.99957,0.97826,0.99417,0.87548,0.99957,0.97826,0.99417,0.99417,0.60974,0.04095,0.0354,0.39088,0.86046,0.00174508,0.00174508,0.00174508
105,2005.09,0.58861,0.05975,0.06524,0.37134,0.87597,0.99858,0.97826,0.99457,0.87378,0.99858,0.97826,0.99457,0.99457,0.60663,0.04385,0.00762,0.39505,0.85631,0.0017426,0.0017426,0.0017426
106,2023.94,0.58173,0.04964,0.07701,0.36921,0.88366,0.99994,1,0.995,0.88223,0.99994,1,0.995,0.99371,0.59792,0.03772,0.01283,0.34163,0.85094,0.00174013,0.00174013,0.00174013
107,2043.01,0.57164,0.04229,0.0588,0.35127,0.87289,1,0.99955,0.995,0.87679,1,0.99955,0.995,0.995,0.65375,0.03467,0.03782,0.3639,0.85708,0.00173765,0.00173765,0.00173765
108,2062.91,0.59267,0.04839,0.06817,0.3634,0.87768,1,0.99937,0.995,0.88333,1,0.99937,0.995,0.995,0.56821,0.02484,0.02884,0.34515,0.84852,0.00173518,0.00173518,0.00173518
109,2082.43,0.58742,0.06175,0.05904,0.36832,0.87488,1,0.99844,0.995,0.89318,1,0.99844,0.995,0.995,0.55158,0.02603,0.0163,0.33281,0.83874,0.0017327,0.0017327,0.0017327
110,2101.39,0.5608,0.04972,0.06137,0.35114,0.86176,0.99292,0.97826,0.99378,0.89029,0.99292,0.97826,0.99378,0.99146,0.54283,0.03791,0.0277,0.34229,0.83091,0.00173023,0.00173023,0.00173023
111,2120.39,0.59153,0.04797,0.06335,0.36647,0.86893,1,0.99849,0.995,0.88956,1,0.99849,0.995,0.995,0.54674,0.03469,0.01082,0.39111,0.84169,0.00172775,0.00172775,0.00172775
112,2139.71,0.56963,0.05309,0.05048,0.35839,0.86445,1,0.99979,0.995,0.89132,1,0.99979,0.995,0.995,0.56904,0.03247,0.01721,0.36159,0.86463,0.00172527,0.00172527,0.00172527
113,2158.21,0.57506,0.04313,0.05413,0.36266,0.87048,1,0.998,0.995,0.89773,1,0.998,0.995,0.995,0.53811,0.03155,0.05927,0.36119,0.83223,0.0017228,0.0017228,0.0017228
