epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,3217.64,0.55,0.03766,0.05705,0.34906,0.87468,0.99796,0.97561,0.99048,0.90992,0.99796,0.97561,0.99418,0.99207,0.50587,0.0289,0.00331,0.28246,0.85556,0.0278361,0.00927871,0.0278361,0.00927871,0.0278361,0.00927871,0.0278361,0.00927871
53,3278.2,0.55592,0.04391,0.05913,0.35091,0.87286,1,0.99994,0.995,0.9122,1,0.99994,0.995,0.99456,0.47781,0.02515,0.00633,0.27646,0.84293,0.0277937,0.00926457,0.0277937,0.00926457,0.0277937,0.00926457,0.0277937,0.00926457
54,3339.04,0.55141,0.0435,0.06035,0.34861,0.87035,1,0.99935,0.995,0.92442,1,0.99935,0.995,0.99427,0.4586,0.02654,0.02462,0.27183,0.84323,0.0277513,0.00925043,0.0277513,0.00925043,0.0277513,0.00925043,0.0277513,0.00925043
55,3399.67,0.55202,0.04198,0.056,0.35022,0.87679,0.97618,0.99939,0.99464,0.91441,0.97618,0.99939,0.99464,0.9914,0.46452,0.043,0.03064,0.28377,0.83488,0.0277089,0.00923629,0.0277089,0.00923629,0.0277089,0.00923629,0.0277089,0.00923629
56,3460.47,0.5454,0.03924,0.05691,0.34249,0.87218,1,0.97474,0.99441,0.91491,1,0.97474,0.99441,0.99396,0.43561,0.02551,0.0232,0.26324,0.83288,0.0276664,0.00922214,0.0276664,0.00922214,0.0276664,0.00922214,0.0276664,0.00922214
57,3521.08,0.54488,0.04137,0.06492,0.34217,0.86887,0.99916,1,0.995,0.9116,0.99916,1,0.995,0.99167,0.4553,0.0248,0.0046,0.26632,0.83703,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
58,3582.08,0.54205,0.0479,0.06072,0.34456,0.87038,0.98794,0.99895,0.99488,0.91639,0.98794,0.99895,0.99488,0.99425,0.46559,0.02365,0.00963,0.26327,0.83561,0.0275816,0.00919386,0.0275816,0.00919386,0.0275816,0.00919386,0.0275816,0.00919386
59,3642.94,0.54055,0.04395,0.05491,0.34113,0.86736,0.99546,0.9878,0.99476,0.90781,0.99546,0.9878,0.99476,0.99476,0.45975,0.02066,0.00829,0.26901,0.82923,0.0275391,0.00917971,0.0275391,0.00917971,0.0275391,0.00917971,0.0275391,0.00917971
60,3703.92,0.54538,0.04042,0.05836,0.34282,0.874,0.99935,0.9878,0.99476,0.90859,0.99935,0.9878,0.99476,0.99197,0.46952,0.03452,0.01549,0.27152,0.83451,0.0274967,0.00916557,0.0274967,0.00916557,0.0274967,0.00916557,0.0274967,0.00916557
61,3764.73,0.53518,0.03813,0.06103,0.33779,0.86682,0.99883,1,0.995,0.92211,0.99883,1,0.995,0.995,0.45026,0.02364,0.03621,0.26973,0.84288,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
62,3825.32,0.52792,0.04021,0.05084,0.33195,0.87039,0.99913,1,0.995,0.90977,0.99913,1,0.995,0.995,0.47456,0.0234,0.00774,0.26044,0.8396,0.0274119,0.00913729,0.0274119,0.00913729,0.0274119,0.00913729,0.0274119,0.00913729
63,3886.21,0.52736,0.04096,0.04559,0.33048,0.86315,0.99921,1,0.995,0.92153,0.99921,1,0.995,0.99443,0.45434,0.02273,0.01021,0.2643,0.8353,0.0273694,0.00912314,0.0273694,0.00912314,0.0273694,0.00912314,0.0273694,0.00912314
